物件名,築年数,専有面積
京王線 代田橋駅 3階建 築6年,6,19.87
コンフォリア早稲田,16,29.28
グラナーデ目白御留山,0,39.12
ＳＵＮＩＶＡＳ飯田橋,3,42.56
ONE ROOF RESIDENCE TAMACHI,2,20.73
ＪＲ総武線 大久保駅 5階建 築10年,10,33.84
ＪＲ山手線 田町駅 14階建 築2年,2,20.73
アーバンネスト渋谷本町,3,45.0
津久井マンション,37,16.8
ル・リオン牛込柳町,15,22.29
ZOOM西早稲田,0,30.89
ＪＲ山手線 代々木駅 14階建 築21年,21,26.05
デュオ・スカーラ赤坂,25,31.25
Fierte高波,20,32.0
ＪＲ山手線 代々木駅 7階建 築25年,25,25.1
ル・リオン牛込柳町,15,22.29
ZOOM西早稲田,0,30.89
フロンティアレジデンス南麻布,19,40.91
Fierte高波,20,32.0
ＪＲ山手線 代々木駅 7階建 築25年,25,25.1
パークタワー芝浦ベイワード アーバンウイング,20,52.71
ザパークワンズ芝公園,7,22.23
ハーベストハウス円山,26,23.5
京急本線 泉岳寺駅 14階建 築11年,11,20.8
レジディアタワー麻布十番,23,54.91
ランドレジデンス渋谷,17,20.0
ＪＲ山手線 恵比寿駅 3階建 築37年,37,27.24
ORIENS SHIBUYA,17,24.29
ＧＲＡＮ　ＰＡＳＥＯ　西麻布II,0,58.26
コンフォリア・リヴ下落合,0,25.78
東京メトロ有楽町線 市ケ谷駅 14階建 築21年,21,21.62
ミレドゥーエ神楽坂,3,25.38
PASEO市谷加賀町,3,23.4
エルスタンザ代官山,21,35.41
市谷仲之町ビューアパートメント,7,25.11
都営新宿線 浜町駅 13階建 築24年,24,21.83
ユービ１２,6,25.01
パークアクシス渋谷桜丘ウエスト,19,31.2
東京メトロ日比谷線 小伝馬町駅 8階建 築6年,6,26.54
エステムプラザ品川駅前5th Avenue,16,20.5
ＡＩＦＬＡＴ若松河田,2,25.93
都営大江戸線 落合南長崎駅 6階建 築6年,6,25.01
レクセル高田馬場,16,51.68
DUO FLATS芝公園　デュオフラッツ芝公園,8,25.84
都営三田線 芝公園駅 12階建 築8年,8,25.84
エステムプラザ品川駅前5th Avenue,16,20.5
東京メトロ東西線 早稲田駅 13階建 新築,0,25.17
DUO FLATS芝公園　デュオフラッツ芝公園,8,25.84
都営三田線 芝公園駅 12階建 築8年,8,25.84
メゾンブランシュ神泉,14,21.8
オーパスホームズ三田,21,29.64
プレミアムキューブ三田,15,24.4
ＪＲ山手線 田町駅 11階建 築15年,15,24.4
Ｊｏｙｏｕｓ　Ｇａｒｄ　代々木,8,26.97
アズミュージック新宿御苑,6,32.9
レジディア恵比寿3,19,20.36
マイキャッスル渋谷JP,28,16.82
都営新宿線 市ケ谷駅 9階建 築46年,46,18.41
アーバンステージ高田馬場,10,30.3
ブレアコート恵比寿,20,21.28
ｅｓｔ　Ｌａｒｇｏ　ＳＨＩＢＵＹＡ,2,20.84
MALULANI 南青山,11,25.86
ベルファース芝浦タワー,15,25.01
アパートメント麻布No.10,47,46.38
ジョイフル幡ヶ谷弐番館,34,18.11
ハイツ笹塚,51,35.3
ＬＥＧＡＬＡＮＤ早稲田,9,23.1
アルテシュタット,21,40.27
小田急線 代々木上原駅 3階建 築22年,22,19.91
Ｌａｖａｇｅ市谷台町,8,28.33
トリニティシロカネ,10,24.41
イーストコート芝,23,24.56
オーキッドレジデンス神楽坂,21,30.11
音羽パーク・ホームズ,25,120.84
ラティエラ白金高輪,23,30.28
音羽パーク・ホームズ,25,120.84
ウルバーノ渋谷本町,12,10.05
常盤松ハウス,4,81.62
プライマル笹塚,16,20.02
都営三田線 白金高輪駅 12階建 築23年,23,20.86
ＳＩＭＯＤＡ新宿上落合,4,25.0
ベルフラッツ恵比寿,23,31.75
パークアクシス白金台,20,30.41
東京メトロ千代田線 根津駅 5階建 新築,0,18.57
キャベッジホワイト,31,20.0
アレーロ高田馬場テラス,4,25.92
東京メトロ有楽町線 江戸川橋駅 8階建 築7年,7,25.91
パークキューブ愛宕山タワー,18,25.33
シティコート千駄木,32,19.53
東京メトロ千代田線 千駄木駅 3階建 築32年,32,19.53
ミライズ新宿戸山,4,17.43
ＬＥＧＡＬＡＮＤ神楽坂,7,23.63
FLレジデンス菁英公館,3,21.0
ホライズンプレイス赤坂,17,27.41
飯田橋ガーデンフラッツ,7,31.32
パレステュディオ三田,22,28.6
小田急線 代々木八幡駅 12階建 築4年,4,24.14
東京メトロ半蔵門線 半蔵門駅 地下1地上6階建 築38年,38,30.73
HARUMI FLAG SUN VILLAGE F棟,2,73.58
ルーブル白金高輪,25,18.45
ＪＲ山手線 神田駅 8階建 築22年,22,26.63
東京メトロ東西線 飯田橋駅 5階建 築3年,3,42.56
東京メトロ丸ノ内線 四谷三丁目駅 5階建 新築,0,25.01
ＪＲ中央線 市ケ谷駅 9階建 築57年,57,52.65
九段アビタシオン,47,22.69
レジデンス白金高輪,22,24.44
戸田家駒込マンション,39,26.43
京王線 笹塚駅 4階建 築39年,39,26.75
九段アビタシオン,47,22.69
ライオンズマンション日本橋,43,22.8
ミリアレジデンス新宿御苑,3,25.01
初台ワールドマンション,52,32.4
京王新線 初台駅 8階建 築52年,52,32.4
トーシンフェニックス松濤,21,20.66
ニュー番衆ビル,51,39.32
KDXレジデンス神楽坂,20,24.99
ベルパラーゾシロカネ,19,25.02
ウィン神田,44,25.1
プレール・ドゥーク新宿Ｗｅｓｔ,5,25.3
ラ　キューブ新宿,0,21.92
ソシエート丸杉,31,16.03
ユースフル笹塚No.2,39,17.87
ＬＥＧＡＬＡＮＤ早稲田南,6,20.68
白金ザスカイ　イースト棟,2,24.69
