物件名,築年数,専有面積
落合フラッツ,44,16.0
Laulea Homes(ラウレアホームズ),11,48.91
プライムアーバン本駒込,18,38.78
東京メトロ南北線 本駒込駅 地下1地上15階建 築18年,18,38.78
フジモリアネックス,37,17.1
Laulea Homes(ラウレアホームズ),11,48.91
ＪＲ山手線 田端駅 15階建 築2年,2,42.96
ハイツ落合,54,24.2
プレミアムキューブ文京江戸川橋mo,9,25.02
フジモリアネックス,37,17.1
都営大江戸線 春日駅 4階建 築9年,9,40.03
ALERO白山II,9,40.03
MAISON DE S,2,26.82
三田５丁目戸建,7,69.15
東京メトロ丸ノ内線 茗荷谷駅 3階建 築46年,46,74.8
白金台貸家,23,137.66
東京メトロ南北線 麻布十番駅 7階建 築22年,22,21.0
築地MKハウス,28,61.07
都営新宿線 岩本町駅 7階建 築15年,15,42.15
ルネス ボストーク,15,42.15
藤和シティホームズ本郷,30,58.8
レオパレス北新宿,38,14.74
東京メトロ有楽町線 新富町駅 10階建 新築,0,43.04
ＪＲ山手線 代々木駅 7階建 築47年,47,60.88
東京メトロ副都心線 北参道駅 地下1地上6階建 築12年,12,70.01
都営大江戸線 勝どき駅 10階建 築6年,6,40.0
京王線 笹塚駅 5階建 築11年,11,53.77
メゾン長谷部,41,23.0
パークホームズ日本橋時の鐘通り,3,52.06
トーア西早稲田マンション,46,36.45
都営三田線 水道橋駅 9階建 築11年,11,25.32
クレスト本郷,22,48.92
パークアクシス月島,20,50.02
市ヶ谷スクエアレジデンス,21,58.33
ＪＲ山手線 品川駅 地下1地上28階建 新築,0,121.59
クレスト本郷,22,48.92
市ヶ谷スクエアレジデンス,21,58.33
ウェリス六本木,12,40.61
東京メトロ千代田線 赤坂駅 13階建 築12年,12,74.03
東京メトロ千代田線 根津駅 5階建 築6年,6,44.55
東京メトロ丸ノ内線 淡路町駅 地下1地上19階建 築15年,15,51.54
東京メトロ有楽町線 月島駅 地下1地上7階建 築23年,23,61.06
ＯＡＫ　ＳＱＵＡＲＥ日本橋馬喰町,7,58.06
ＡＸＡＳ文京千駄木,7,25.7
東京メトロ南北線 本駒込駅 9階建 築7年,7,25.7
都営新宿線 岩本町駅 15階建 築18年,18,31.02
ＪＲ山手線 駒込駅 12階建 築12年,12,25.39
東京メトロ千代田線 赤坂駅 13階建 築11年,11,71.7
都営浅草線 高輪台駅 地下1地上34階建 築11年,11,78.26
都電荒川線 早稲田駅 8階建 築13年,13,26.09
ドゥムール西片,36,53.61
グランシャリオ笹塚,0,25.5
ジュネス白山A棟,33,39.75
東京メトロ東西線 九段下駅 13階建 築12年,12,32.15
代々木パークハウス　ＰＲＩＭＥ　ＨＩＬＬＳ,17,129.4
都営大江戸線 牛込神楽坂駅 9階建 築4年,4,96.74
テラス八丁堀,6,27.16
ＪＲ京葉線 八丁堀駅 7階建 築6年,6,44.66
都営三田線 水道橋駅 16階建 築55年,55,83.79
コトー高輪,59,50.0
プレミエーレ代々木上原,22,64.88
ヒルトップ小石川,34,44.28
小石川シティハイツ,27,48.21
ブランズ代々木,9,59.12
都営大江戸線 代々木駅 14階建 築9年,9,59.12
コトー高輪,59,50.0
小石川シティハイツ,27,48.21
都営大江戸線 牛込神楽坂駅 9階建 築4年,4,96.74
ＪＲ中央線 水道橋駅 地下1地上8階建 築46年,46,74.34
ブランズ代々木,9,59.12
都営大江戸線 代々木駅 14階建 築9年,9,59.12
都営大江戸線 麻布十番駅 地下1地上6階建 築18年,18,109.1
東京メトロ銀座線 表参道駅 地下1地上7階建 築9年,9,115.9
ザ・パークハウスグラン南青山,9,115.9
南元町戸建,0,99.37
ＪＲ山手線 目白駅 2階建 築49年,49,10.12
ＪＲ中央線 四ツ谷駅 地下1地上17階建 築8年,8,57.48
ＪＲ中央線 神田駅 9階建 築13年,13,44.39
都営浅草線 高輪台駅 13階建 築5年,5,54.49
オープンレジデンシア広尾ザ・ハウス　Ｎｏｒｔｈ　Ｃｏｕｒｔ,7,57.23
テラス八丁堀,6,27.16
ＪＲ京葉線 八丁堀駅 7階建 築6年,6,44.66
白金台4丁目戸建,27,144.5
東京メトロ丸ノ内線 淡路町駅 地下2地上12階建 築7年,7,33.77
ピアース初台,19,53.51
東京メトロ丸ノ内線 茗荷谷駅 4階建 築1年,1,33.2
ＧＲＡＣＥ茗荷谷,0,33.2
イトーピア三番町,54,243.87
東京メトロ東西線 飯田橋駅 地下1地上12階建 築20年,20,60.9
東京メトロ丸ノ内線 茗荷谷駅 地下1地上9階建 築28年,28,42.0
東京メトロ丸ノ内線 茗荷谷駅 12階建 築20年,20,37.07
東京メトロ丸ノ内線 本郷三丁目駅 13階建 築14年,14,20.0
東京メトロ千代田線 湯島駅 15階建 築3年,3,25.5
京急本線 品川駅 3階建 築59年,59,50.0
グランディール本駒込,14,33.6
パークアクシス日本橋本町,12,47.1
東京メトロ千代田線 湯島駅 15階建 築3年,3,25.5
グランディール本駒込,14,33.6
ルーチェ六義園,4,34.72
ＪＲ山手線 巣鴨駅 3階建 築4年,4,34.72
東京メトロ南北線 東大前駅 12階建 築13年,13,25.38
東京メトロ日比谷線 広尾駅 14階建 築5年,5,50.39
都営大江戸線 落合南長崎駅 3階建 築9年,9,67.95
東京メトロ半蔵門線 水天宮前駅 10階建 築18年,18,40.04
松涛１丁目賃貸,29,105.58
都営三田線 千石駅 5階建 築8年,8,22.14
シュトラーレ本駒込,2,44.39
ＪＲ山手線 秋葉原駅 13階建 築4年,4,47.97
アーバネックス千代田淡路町,3,40.08
都営新宿線 小川町駅 13階建 築3年,3,40.08
東京メトロ有楽町線 江戸川橋駅 2階建 築47年,47,66.65
京王新線 初台駅 4階建 築20年,20,59.67
ＪＲ山手線 神田駅 10階建 築4年,4,43.34
東京メトロ丸ノ内線 御茶ノ水駅 4階建 新築,0,26.65
東京メトロ丸ノ内線 本郷三丁目駅 14階建 築2年,2,26.77
クレストコート本郷三丁目,2,26.77
東京メトロ有楽町線 護国寺駅 11階建 築7年,7,25.52
Gentle owl,7,42.17
パークコート渋谷大山町　ザ　プラネ　清邸,10,86.75
森アパート,56,17.91
シティインデックス神田,9,32.09
東京メトロ日比谷線 東銀座駅 13階建 築7年,7,62.01
京王線 笹塚駅 3階建 新築,0,29.69
レジデンス代々木公園,20,41.26
東京メトロ千代田線 代々木公園駅 地下1地上4階建 築20年,20,41.26
東京メトロ千代田線 代々木公園駅 地下1地上4階建 築20年,20,41.26
都営大江戸線 勝どき駅 2階建 築27年,27,53.2
S－RESIDENCE日本橋馬喰町Aere（エスレシデンス日本橋馬喰町,0,34.97
アンテルプレテ,4,33.85
KDXレジデンス八丁堀,5,48.29
都営浅草線 東日本橋駅 10階建 築5年,5,33.24
ＪＲ山手線 秋葉原駅 13階建 築4年,4,47.97
ガリシアレジデンス広尾,14,48.16
パークアクシス日本橋兜町,8,33.31
アーバネックス千代田淡路町,3,40.08
都営新宿線 小川町駅 13階建 築3年,3,40.08
千駄木戸建Ｂ棟,60,51.0
都営三田線 水道橋駅 13階建 築20年,20,38.05
アイ・ハウス,30,85.24
ＳＴハイツ,36,49.68
Ｃａｓａ　Ｄｏｌｃｅ,12,44.81
ＪＲ山手線 神田駅 10階建 築4年,4,43.34
HI-NA,0,43.8
本町6丁目戸建,21,154.86
コンフォリア春日富坂,17,21.47
西原一丁目貸戸建（13-11）,53,101.18
京王井の頭線 神泉駅 14階建 築21年,21,24.81
シティインデックス神田,9,32.09
都営三田線 春日駅 地下1地上6階建 築7年,7,40.11
メゾン小石川,52,56.29
森アパート,56,17.91
京王新線 幡ヶ谷駅 地下1地上8階建 築40年,40,90.42
ロータスプレース,32,47.24
ルネッサンス代々木８５,41,35.0
ＵＳＨ早稲田,0,43.9
南青山ライズハウス,21,102.65
カーザベラ代官山,36,178.47
豊栄新都心マンション,44,62.19
パークウェル文京千石,20,33.6
ＵＳＨ早稲田,0,43.9
ベルデンビル水天宮,47,30.0
高輪4丁目戸建て　C棟,45,222.09
Le Clair新川レジデンス　【ルクレ新川レジデンス】,19,43.1
Saichi銀座東,14,53.08
プライマル茅場町,18,44.99
クリア岩本町,12,49.13
ローズガーデンハウス,15,112.74
ベルデュール小石川,21,22.52
都営大江戸線 勝どき駅 3階建 築3年,3,40.18
サンウッド代官山猿楽町,11,57.6
鈴木マンション,45,40.03
ロイヤルヒルズ本駒込壱町目,29,46.98
ツインビュー御茶の水,32,65.28
ＪＲ中央線 水道橋駅 地下1地上9階建 築32年,32,65.28
西武新宿線 下落合駅 5階建 築20年,20,69.48
レジディア神田東,22,32.25
アールヴェール根津弥生坂,29,37.63
京王新線 幡ヶ谷駅 4階建 築4年,4,35.12
ローレルコート三番町,24,111.34
レジディア月島,19,39.58
都営三田線 春日駅 6階建 築35年,35,47.0
都営新宿線 浜町駅 10階建 築3年,3,40.01
グリーンパーク東日本橋,22,58.47
エスタ代々木,45,56.76
小田急線 南新宿駅 4階建 築45年,45,56.76
コーポ寺前,50,20.17
レジデンス勝どき,10,55.92
小田急線 代々木八幡駅 13階建 築21年,21,25.01
アトリウム青山,37,125.17
東京メトロ南北線 東大前駅 地下1地上2階建 築7年,7,35.34
VORT飯田橋レジデンス,0,41.32
東京メトロ銀座線 末広町駅 9階建 築16年,16,21.22
THE CONOE一番町,9,56.54
クラーク邸,17,122.56
ＪＲ山手線 原宿駅 地下3地上10階建 築5年,5,123.2
東京メトロ日比谷線 六本木駅 地下2地上43階建 築22年,22,58.27
笹塚3丁目戸建,23,99.7
東京メトロ副都心線 北参道駅 6階建 築11年,11,33.46
東京メトロ日比谷線 築地駅 13階建 築23年,23,67.43
東京メトロ南北線 東大前駅 2階建 築43年,43,35.24
東京メトロ半蔵門線 神保町駅 12階建 築21年,21,58.46
ASTILE日本橋浜町,2,38.16
ウェルスクエアイズム千駄ヶ谷,5,30.6
都営三田線 春日駅 3階建 築9年,9,26.1
ラシーネ西片,9,26.1
都営三田線 白山駅 4階建 築33年,33,75.0
都営大江戸線 西新宿五丁目駅 14階建 新築,0,33.32
イプセ渋谷本町,0,33.32
小田急線 参宮橋駅 地下1地上4階建 築9年,9,33.1
ＡＬＥＲＯ参宮橋,9,34.05
クオリア恵比寿パークフロント,19,56.92
小田急線 南新宿駅 地下1地上4階建 築7年,7,31.06
ＪＲ中央線 飯田橋駅 2階建 築24年,24,34.76
東急東横線 代官山駅 地下1地上12階建 築11年,11,67.22
小田急線 代々木上原駅 3階建 築7年,7,32.7
イプセ渋谷本町,0,33.32
小田急線 参宮橋駅 地下1地上4階建 築9年,9,33.1
ＡＬＥＲＯ参宮橋,9,34.05
クオリア恵比寿パークフロント,19,56.92
小田急線 南新宿駅 地下1地上4階建 築7年,7,31.06
東急東横線 代官山駅 地下1地上12階建 築11年,11,67.22
アトリウム青山,37,125.17
グレイスコート月島,7,35.0
クレスト吉田,37,39.3
小田急線 代々木上原駅 3階建 築7年,7,32.7
TG House,7,72.8
VORT飯田橋レジデンス,0,41.32
Brezza Ebisu,11,30.36
ＪＲ山手線 恵比寿駅 12階建 築11年,11,30.36
エステムプラザ神楽坂North　Residence,15,20.61
文京区向丘一丁目戸建,60,54.0
東京メトロ日比谷線 六本木駅 地下2地上43階建 築22年,22,58.27
THE CONOE一番町,9,56.54
東京メトロ千代田線 根津駅 9階建 築26年,26,47.71
ヴィラエテールナ,25,47.71
都営三田線 白山駅 地下1地上4階建 築33年,33,32.0
都営三田線 白山駅 地下1地上4階建 築33年,33,35.24
ハイムマグノリア,15,36.5
都営三田線 千石駅 地下1地上6階建 築15年,15,36.5
東京メトロ日比谷線 築地駅 10階建 築28年,28,61.07
テレジャンデール護国寺ウエスト,5,30.04
クレスト厚和,22,35.15
東京メトロ半蔵門線 神保町駅 12階建 築21年,21,58.46
ＺＥＳＴＹ西新宿III,20,25.89
ＪＲ山手線 新橋駅 12階建 築5年,5,39.95
ＪＲ山手線 新橋駅 12階建 築5年,5,39.95
IS銀座レジデンス,5,39.95
槇の杜,5,77.0
東京メトロ千代田線 代々木上原駅 3階建 築5年,5,77.0
デューク・スカーラ日本橋,24,61.75
東京メトロ半蔵門線 水天宮前駅 12階建 築24年,24,61.75
クレスト厚和,22,35.15
都営浅草線 東日本橋駅 12階建 築4年,4,40.07
市ヶ谷科学技術イノベーションセンタービル,4,96.74
東京メトロ日比谷線 人形町駅 10階建 築13年,13,41.88
東京メトロ丸ノ内線 本郷三丁目駅 3階建 築17年,17,20.65
レガーロ御茶ノ水I,20,29.79
小田急線 南新宿駅 3階建 築14年,14,42.6
ヒルトップ半蔵門,24,65.16
東京メトロ半蔵門線 半蔵門駅 地下1地上7階建 築24年,24,65.16
レジディア日本橋人形町,21,40.7
メディオ月島,9,25.84
王子グリーンヒルアパートメンツ,37,239.71
東京メトロ日比谷線 人形町駅 地下1地上14階建 築23年,23,37.09
エスペランサ神田小川町,5,51.42
リアル銀座フロント,22,40.54
東京メトロ有楽町線 新富町駅 5階建 築22年,22,40.54
東京メトロ南北線 本駒込駅 14階建 新築,0,25.49
セレッソ幡ヶ谷,29,60.5
京王新線 幡ヶ谷駅 5階建 築29年,29,60.5
文京ガーデン　ザ　サウス,4,47.89
ル・クレソンヴェ－ル,29,23.79
東京メトロ有楽町線 護国寺駅 14階建 築37年,37,61.44
京王線 笹塚駅 11階建 築27年,27,62.06
都営三田線 千石駅 3階建 築9年,9,23.74
ザ・パークハウス恵比寿,6,65.83
ＪＲ山手線 恵比寿駅 地下1地上14階建 築6年,6,65.83
千花苑アパート,34,22.0
ＪＲ山手線 巣鴨駅 4階建 築34年,34,40.59
ヒルトップ半蔵門,24,65.16
東京メトロ半蔵門線 半蔵門駅 地下1地上7階建 築24年,24,65.16
オーキッドレジデンス明石町,19,40.01
東京メトロ有楽町線 新富町駅 5階建 築19年,19,40.01
プレシス八丁堀リバーフロント,10,57.05
東京メトロ千代田線 千駄木駅 3階建 築9年,9,19.25
ルポン・デスポワールII,12,54.91
エスペランサ神田小川町,5,51.42
都営新宿線 浜町駅 7階建 築19年,19,41.65
belle ville EBISU,3,44.76
都営三田線 千石駅 4階建 築11年,11,25.05
エスペランサ神宮前,0,36.45
京王新線 初台駅 3階建 築37年,37,108.0
永楽レジデンス,18,25.96
東京メトロ丸ノ内線 本郷三丁目駅 地下1地上7階建 築51年,51,46.1
ラナイ1177,44,256.28
都営新宿線 曙橋駅 13階建 築9年,9,72.55
都営三田線 春日駅 14階建 築7年,7,27.11
東京メトロ半蔵門線 半蔵門駅 14階建 築9年,9,56.54
プラウド代官山フロント,4,67.22
Patris26　【パトリス26】,20,51.35
ＪＲ中央線 水道橋駅 10階建 築20年,20,51.35
ＴＨＥ　ＡＸＩＳ　ＫＯＪＩＭＡＣＨＩ,6,62.42
プレネージュ幡ヶ谷,7,28.94
エスペランサ北参道,8,32.43
京王新線 幡ヶ谷駅 5階建 築36年,36,49.7
ザ・パークハウスグラン南青山四丁目,7,105.46
エスペランサ北参道,8,32.43
京王新線 幡ヶ谷駅 5階建 築36年,36,49.7
小田急線 代々木上原駅 3階建 築3年,3,101.23
ＥＺＥ　ＨＯＵＳＥ,7,47.25
東京メトロ半蔵門線 神保町駅 9階建 築23年,23,50.3
東京メトロ日比谷線 茅場町駅 7階建 築19年,19,42.0
グランドパーク恵比寿センシュアス,25,50.97
アスコットパーク日本橋小伝馬町,14,62.07
ブルーベル,39,19.9
リビオ神楽坂,7,70.05
丸田ビル,31,30.0
東京メトロ南北線 飯田橋駅 4階建 築5年,5,30.0
アルス勝どきコモーネ,22,55.44
都営大江戸線 勝どき駅 8階建 築22年,22,55.44
ケトル代々木,0,28.27
村田荘,49,34.39
グレイスコート岩本町,4,25.32
FORECITY KANDATACHO 【フォレシティ神田多町】,18,30.55
アーバンパーク代々木,8,41.33
Ｆｕｌｌｅａ本郷,2,20.05
ＪＲ山手線 大塚駅 3階建 築14年,14,22.72
ブランズ文京本郷一丁目,4,25.35
ヒルクレスト神山,34,230.37
東京メトロ丸ノ内線 新大塚駅 3階建 築11年,11,20.0
東京メトロ有楽町線 江戸川橋駅 10階建 築16年,16,34.91
京王新線 幡ヶ谷駅 4階建 築45年,45,82.0
アクアコート,23,44.04
東京メトロ日比谷線 八丁堀駅 10階建 築23年,23,44.04
本郷ハイホーム,44,51.92
本郷ハイホーム,44,51.92
京王新線 幡ヶ谷駅 4階建 築45年,45,82.0
スカイコート本郷東大前弐番館,14,21.7
ヒルサイド小日向,15,21.79
ＪＲ山手線 恵比寿駅 14階建 築12年,12,25.04
パークハビオ恵比寿,12,25.04
アクアコート,23,44.04
東京メトロ日比谷線 八丁堀駅 10階建 築23年,23,44.04
Ｂ－５,2,53.48
SHIROKANE The SKY E棟,3,77.39
ジオ一番町,3,44.7
都営三田線 春日駅 9階建 築36年,36,66.2
スターレジデンス本郷,7,18.76
GREEN　PARK水天宮前,11,40.57
東京メトロ丸ノ内線 新大塚駅 7階建 築55年,55,33.0
小田急線 参宮橋駅 5階建 築10年,10,48.31
ザ・サンメゾン広尾エルド,12,57.43
四谷四丁目　戸建て,4,104.3
東京メトロ南北線 白金高輪駅 地下1地上45階建 築2年,2,77.39
セントパレス西神田,23,51.54
神明公園ハイツ・文京,2,40.21
ＪＲ山手線 駒込駅 7階建 築2年,2,40.21
東京メトロ有楽町線 月島駅 8階建 築7年,7,40.92
パックセントラル,11,10.34
京王新線 初台駅 4階建 築12年,12,47.97
